Date,Open,High,Low,Close,Adj Close,Volume
2017-05-16,0.008799,0.008851,0.008791,0.008800,0.008800,0
2017-05-17,0.008872,0.008990,0.008872,0.008877,0.008877,0
2017-05-18,0.009000,0.009072,0.008975,0.008999,0.008999,0
2017-05-19,0.008975,0.009003,0.008954,0.008977,0.008977,0
2017-05-22,0.008987,0.009012,0.008961,0.008986,0.008986,0
2017-05-23,0.009013,0.009016,0.008953,0.009018,0.009018,0
2017-05-24,0.008934,0.008952,0.008920,0.008932,0.008932,0
2017-05-25,0.008967,0.008967,0.008934,0.008967,0.008967,0
2017-05-26,0.008951,0.009018,0.008945,0.008950,0.008950,0
2017-05-29,0.008987,0.008992,0.008972,0.008988,0.008988,0
2017-05-30,0.008994,0.009036,0.008992,0.008995,0.008995,0
2017-05-31,0.009019,0.009050,0.008994,0.009022,0.009022,0
